_id,X,Y,FID,Name_of_Sc,Level_,Status,SchSponsor,Type1,Type2,Type3,PupilTeach,ClassrmRat,ToiletRati,No_Classrm,BoysToilet,GirlsToilet,TeachersTo,TotalToile,TotalBoys,TotalGirls,TotalEnrol,GO_KTSC_M,GOK_TSC_F,authorityM,authorityF,PTA_BOG_M,PTA_BOG_F,OthersM,OthersF,NoTeaching,NonTeachin,Province,District,Division,Location,Costituenc,Latitude,Longitude
3985,39.44,-4.17,2985,KINARINI PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,22,22,11,1,1,1,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,COAST,KWALE,MATUGA,GOLINI,MATUGA,-4.17,39.44
3986,39.7,-0.59,2986,K.A.G  WATTA PRIMARY,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,28.3,28.3,56.5,8,2,2,2,0,0,0,226,0,0,0,0,0,0,5,3,0,1,COAST,TANA RIVER,MADOGO,SALA,BURA,-0.59,39.7
3987,39.46,-4.18,2987,KWALE SCHOOL FOR THE DEAF-PRY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING ONLY,SPECIAL SCHOOL,4.4,7.8,3.7,9,8,11,2,0,0,0,70,9,7,0,0,0,0,0,0,8,4,COAST,KWALE,MATUGA,GOLINI,MATUGA,-4.18,39.46
3988,39.49,-4.19,2988,MWAMUNGA PRI  SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,38.4,34.1,23.6,18,12,14,3,0,0,0,614,5,9,0,0,1,1,0,0,2,0,COAST,KWALE,MATUGA,TSIMBA,MATUGA,-4.19,39.49
3989,39.77,-0.62,2989,SALA PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,67,26.8,67,5,1,1,2,0,0,0,134,2,0,0,0,0,0,0,0,1,1,COAST,TANA RIVER,MADOGO,SALA,BURA,-0.62,39.77
3990,39.61,-0.47,2990,MORORO  PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY & BOARDING,ORDINARY,119.1,84.1,102.1,17,9,5,2,0,0,0,1429,12,0,0,0,0,0,0,0,3,2,COAST,TANA RIVER,MADOGO,MADOGO,BURA,-0.47,39.61
3991,39.61,-0.47,2991,LIFE FRONTIER PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,DAY & BOARDING,ORDINARY,15.2,29.1,16,11,10,10,5,0,0,0,320,0,0,0,0,0,0,9,12,12,5,COAST,TANA RIVER,MADOGO,MADOGO,BURA,-0.47,39.61
3992,39.63,-0.46,2992,HATATA  PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,71,59.2,177.5,6,1,1,1,0,0,0,355,2,3,0,0,0,0,0,0,2,1,COAST,TANA RIVER,MADOGO,MORORO,BURA,-0.46,39.63
3993,39.42,-2.05,2993,ASSA PRIMARY BOARDING,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING ONLY,ORDINARY,25.2,25.2,63,5,1,1,0,0,0,0,126,5,0,0,0,0,0,0,0,1,2,COAST,TANA RIVER,GARSEN,ASSA,GARSEN,-2.05,39.42
3994,40.11,-2.27,2994,GARSEN  PRIMARY,PRIMARY SCHOOL,PUBLIC,COMMUNITY,GIRLS ONLY,DAY ONLY,ORDINARY,59.9,80.9,161.8,20,7,3,3,0,0,0,1618,6,21,0,0,0,0,0,0,2,1,COAST,TANA RIVER,GARSEN,BILISA,GARSEN,-2.27,40.11
3995,40.12,-2.29,2995,IDSOWE  PRIMARY,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,48.5,30.3,121.3,16,2,2,2,0,0,0,485,5,5,0,0,0,0,0,0,1,1,COAST,TANA RIVER,GARSEN,BILISA,GARSEN,-2.29,40.12
3996,40.14,-2.28,2996,DANISA  PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,57.4,57.4,86.2,9,3,3,2,0,0,0,517,6,3,0,0,0,0,0,0,2,1,COAST,TANA RIVER,GARSEN,GALILI,GARSEN,-2.28,40.14
3997,40.18,-2.28,2997,GAMBA   PRIMARY,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,41,36.4,328,9,0,1,1,0,0,0,328,4,4,0,0,0,0,0,0,2,0,COAST,TANA RIVER,GARSEN,GALILI,GARSEN,-2.28,40.18
3998,40.18,-2.15,2998,MAREMBO  PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,35.5,35.5,213,6,0,1,1,0,0,0,213,2,4,0,0,0,0,0,0,0,0,COAST,TANA RIVER,GARSEN,MWINA,GARSEN,-2.15,40.18
3999,40.17,-2.18,2999,KULESA  PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,38.4,33.6,67.3,8,2,2,2,0,0,0,269,2,5,0,0,0,0,0,0,1,1,COAST,TANA RIVER,GARSEN,MWINA,GARSEN,-2.18,40.17
4000,40.18,-2.21,3000,REUBEN MWEWE  PRIMARY,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,40.1,28.1,56.2,10,2,3,2,0,0,0,281,3,4,0,0,0,0,0,0,1,1,COAST,TANA RIVER,GARSEN,WEMA,GARSEN,-2.21,40.18
4001,35.27,-0.36,12001,VISION ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.3,9.7,14.5,3,1,1,2,0,0,0,29,0,0,0,0,0,0,2,2,0,0,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4002,35.25,-0.34,12002,CHEPKURBET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,34.6,41.5,37.7,10,6,5,2,0,0,0,415,2,10,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,KAPSOIT,-0.34,35.25
4003,35.27,-0.36,12003,AMAZING GRACE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.5,7.5,3.8,2,2,2,1,0,0,0,15,0,0,0,0,0,0,0,2,1,1,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4004,35.24,-0.33,12004,GREENLAND SCH TABON -PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.1,26.4,31.7,12,5,5,4,0,0,0,317,0,0,0,0,0,0,11,4,11,7,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,KAPSOIT,-0.33,35.24
4005,35.27,-0.36,12005,FIG TREE NYAKACHO ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.2,14.2,17,6,3,2,2,0,0,0,85,0,0,0,0,0,0,2,4,1,1,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4006,35.22,-0.32,12006,KIBOITO PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,28.7,43,35.8,10,8,4,2,0,0,0,430,5,10,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.32,35.22
4007,35.27,-0.36,12007,BRIGHT FUTURE SCH - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,9,9,2,1,1,0,0,0,0,18,0,0,0,0,0,0,0,2,1,1,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4008,35.22,-0.34,12008,BORBORWET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,46.6,44.3,29.5,20,17,13,6,0,0,0,885,13,6,0,0,0,0,0,0,1,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.34,35.22
4009,35.27,-0.36,12009,GENESIS ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.9,13.6,15.8,7,2,4,2,0,0,0,95,0,0,0,0,0,0,7,1,2,2,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4010,35.21,-0.35,12010,MEREONK PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.35,35.21
4011,35.27,-0.36,12011,TEALAND PREP SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.3,4.3,8.5,4,1,1,1,0,0,0,17,0,0,0,0,0,0,2,2,1,0,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4012,35.23,-0.33,12012,SAMITYUK PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,18.1,22.6,16.5,8,2,9,1,0,0,0,181,4,6,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.33,35.23
4013,35.28,-0.36,12013,KINGS ROYAL ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.2,13.4,33.5,10,2,2,2,0,0,0,134,0,0,0,0,0,0,4,8,2,2,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.28
4014,35.24,-0.34,12014,HIGHWAY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.4,17.4,34.8,8,2,2,1,0,0,0,139,0,0,0,0,0,0,4,4,2,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.34,35.24
4015,35.27,-0.36,12015,NISSI JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4016,35.24,-0.34,12016,MASARIAN PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,26.1,35.9,35.9,8,3,5,2,0,0,0,287,3,8,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.34,35.24
4017,35.27,-0.36,12017,JOY SHINERS ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22,29.3,29.3,3,2,1,1,0,0,0,88,0,0,0,0,0,0,0,4,0,2,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4018,35.24,-0.35,12018,KAPTEBESWET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,27.6,0,0,0,0,0,0,0,0,0,414,3,12,0,0,0,0,0,0,2,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.35,35.24
4019,35.27,-0.36,12019,JOY SHINERS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22,22,44,4,1,1,3,0,0,0,88,0,0,0,0,0,0,2,2,0,2,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.27
4020,35.23,-0.37,12020,KAKIPTUI BETHEL PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,41.8,33.4,27.8,5,3,3,2,0,0,0,167,0,4,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,KAPSUSER,-0.37,35.23
4021,35.28,-0.36,12021,RIVERSIDE ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.4,17.4,21.8,5,2,2,2,0,0,0,87,0,0,0,0,0,0,4,3,2,0,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.28
4022,35.22,-0.36,12022,KAPSOIYO PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,25.5,30.3,22,16,10,12,6,0,0,0,484,4,15,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.36,35.22
4023,35.28,-0.36,12023,ADONAI CHRISTIAN SCH - PRI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.36,35.28
4024,35.21,-0.37,12024,KAPLEMEIWET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,77,38.5,38.5,2,1,1,1,0,0,0,77,0,1,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.37,35.21
4025,35.27,-0.37,12025,MARANATHA FAITH ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,12.4,12.4,15.5,5,2,2,2,0,0,0,62,0,0,0,0,0,0,3,2,1,1,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.37,35.27
4026,35.28,-0.37,12026,KERICHO PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.5,22.6,14.1,30,18,30,8,0,0,0,678,0,0,0,0,0,0,16,25,17,5,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.37,35.28
4027,35.21,-0.38,12027,EZER ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.38,35.21
4028,35.21,-0.38,12028,TEGAT MAINA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7,7,10.5,6,3,1,2,0,0,0,42,0,0,0,0,0,0,4,2,1,2,RIFT VALLEY,KERICHO,BELGUT,BELGUT,KAPSUSER,-0.38,35.21
4029,35.18,-0.46,12029,JAMJI PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,39.9,34.2,0,21,0,0,4,0,0,0,719,10,8,0,0,0,0,0,0,1,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.46,35.18
4030,35.2,-0.38,12030,CHEBOSERON MORONG'ETI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.38,35.2
4031,35.19,-0.46,12031,KIPTETAN PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,54.9,64.9,64.9,11,5,6,5,0,0,0,714,8,5,0,0,0,0,0,0,2,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.46,35.19
4032,35.18,-0.38,12032,EDEMS JUNIOR SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.38,35.18
4033,35.18,-0.38,12033,KEBEN PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,45.3,51,35.5,16,5,18,2,0,0,0,816,11,7,0,0,0,0,0,0,1,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.38,35.18
4034,35.22,-0.43,12034,TAGABI PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,42.3,42.3,48.3,16,7,7,2,0,0,0,676,4,12,0,0,0,0,0,0,2,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.43,35.22
4035,35.18,-0.36,12035,CHEPTENYE PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,38.7,40.2,41.9,25,12,12,2,0,0,0,1005,9,17,0,0,0,0,0,0,1,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.36,35.18
4036,35.23,-0.4,12036,KERENGA PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,41.5,46.7,57.5,16,6,7,4,0,0,0,747,5,13,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.4,35.23
4037,35.24,-0.42,12037,MASOBET PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,24.5,24.5,28,8,4,3,3,0,0,0,196,5,3,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.42,35.24
4038,35.2,-0.32,12038,MACHORWA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,39.1,30.4,30.4,9,5,4,2,0,0,0,274,3,4,0,0,0,0,0,0,0,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.32,35.2
4039,35.26,-0.43,12039,KITUMBE PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,58.6,70.3,48.5,20,17,12,12,0,0,0,1406,8,16,0,0,0,0,0,0,1,0,RIFT VALLEY,BURETI,KIMULOT,KONOIN,SAOSA,-0.43,35.26
4040,35.2,-0.33,12040,KAPTOBOITI PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,32.1,39.7,36.3,21,9,14,5,0,0,0,834,4,22,0,0,0,0,0,0,2,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.33,35.2
4041,35.28,-0.42,12041,MARINYN PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,32.8,47.6,40.3,11,7,6,4,0,0,0,524,1,15,0,0,0,0,0,0,1,0,RIFT VALLEY,BURETI,KIMULOT,KONOIN,SAOSA,-0.42,35.28
4042,35.18,-0.33,12042,CHERONGET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,39.9,35.9,29.9,10,5,7,2,0,0,0,359,5,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.33,35.18
4043,35.31,-0.4,12043,SAOSA PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,44.6,52.1,44.6,12,6,8,4,0,0,0,625,3,11,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.4,35.31
4044,35.19,-0.35,12044,YOUNG SCHOLAR'S ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.6,8,24,6,1,1,1,0,0,0,48,0,0,0,0,0,0,2,3,0,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.35,35.19
4045,35.18,-0.35,12045,SOSIOT AGC ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,23.5,26.9,37.6,7,2,3,1,0,0,0,188,0,0,0,0,0,0,5,3,4,3,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.35,35.18
4046,35.31,-0.4,12046,FINLAY FLOWER II PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,77.4,48.4,27.6,8,7,7,2,0,0,0,387,1,4,0,0,0,0,0,0,0,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.4,35.31
4047,35.17,-0.36,12047,ACK HOLY TRINTY ACADEMY-SOSIOT PRI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,13.5,18,13.5,3,2,2,1,0,0,0,54,0,0,0,0,0,0,1,3,4,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.36,35.17
4048,35.29,-0.41,12048,A.H.P. WORKSHOP PRI SCH,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,37.4,40.5,27,12,10,8,2,0,0,0,486,2,11,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.41,35.29
4049,35.16,-0.35,12049,CHEPKOIN PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,38.7,38.7,32.8,11,7,6,2,0,0,0,426,5,6,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.35,35.16
4050,35.27,-0.41,12050,KAPSONGOI PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,41.6,47.2,47.2,15,7,8,15,0,0,0,708,2,15,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.41,35.27
4051,35.17,-0.34,12051,KIPTALDAL PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,37.4,42.3,37.4,15,7,10,3,0,0,0,635,8,9,0,0,0,0,0,0,2,1,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.34,35.17
4052,35.15,-0.34,12052,CHERIBO PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,38.5,46.8,38.5,14,6,11,5,0,0,0,655,12,5,0,0,0,0,0,0,2,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.34,35.15
4053,35.28,-0.38,12053,GREEN IVY SCHOOL - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.1,23.9,31.8,8,3,3,2,0,0,0,191,0,0,0,0,0,0,4,6,0,3,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,-0.38,35.28
4054,35.17,-0.37,12054,TABO HILL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.4,17.8,17.8,6,3,3,2,0,0,0,107,0,0,0,0,0,0,5,3,3,2,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.37,35.17
4055,35.27,-0.39,12055,CHELIMO PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,38.6,33.8,60.1,16,4,5,2,0,0,0,541,2,12,0,0,0,0,0,0,3,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,KAPSUSER,-0.39,35.27
4056,35.3,-0.39,12056,SARAMEK 'B' PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,51.6,39.7,86,13,2,4,2,0,0,0,516,1,9,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.39,35.3
4057,35.15,-0.35,12057,KOITALEL PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,40.5,33.8,28.9,12,7,7,2,0,0,0,405,7,3,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.35,35.15
4058,35.33,-0.37,12058,KIPKETER PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,50.3,50.3,59.5,13,5,6,2,0,0,0,654,4,9,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,-0.37,35.33
4059,35.16,-0.37,12059,TELDET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,37.3,41.4,32.4,18,9,14,2,0,0,0,745,6,14,0,0,0,0,0,0,1,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.37,35.16
4060,35.15,-0.37,12060,NGARIYET PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,0,29,29,2,1,1,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,BELGUT,BELGUT,WALDAI,-0.37,35.15
4061,35.35,-0.37,12061,UTAFITI PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,45.1,56.4,45.1,8,5,5,2,0,0,0,451,4,6,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,AINAMOI,KIPKELION,CHEBOSWA,-0.37,35.35
